office,address,phone,lon,lat,region
Ann Arbor,"2300 Traverwood Dr. Ann Arbor, MI 48105 United States",+1 734-332-6500,-83.7140833,42.3063848,north-america
Atlanta,"10 10th Street NE Atlanta, GA 30309 United States",+1 404-487-9000,-84.387301,33.781827,north-america
Austin,"500 W 2nd St Suite 2900 Austin, TX 78701 United States",+1 512-343-5283,-97.749237,30.266035,north-america
Boulder,"2600 Pearl Street Boulder, CO 80302 United States",+1 303-245-0086,-105.260139,40.021693,north-america
Cambridge,"355 Main Street Cambridge, MA 02142 United States",+1 617-575-1300,-71.087109,42.362757,north-america
Chapel Hill,"200 West Franklin Street Chapel Hill, NC 27516 United States",,-79.058488,35.912445,north-america
Chicago,"320 N. Morgan, Suite 600 Chicago, IL 60607 United States",+1 312-840-4100,-87.6526874,41.8873457,north-america
Detroit,"52 Henry St. 3rd Floor Detroit, MI 48201 United States",+1 248-593-4003,-83.054494,42.340458,north-america
Irvine,"19510 Jamboree Road Irvine, CA 92612 United States",+1 949-794-1600,-117.859322,33.658792,north-america
Kirkland,"777 6th Street South Kirkland, WA United States",+1 425-739-5600,-122.196912,47.669568,north-america
Kitchener,"51 Breithaupt Street Kitchener, ON N2H 5G5 Canada",+1-519-880-2300,-80.4992423,43.4541137,north-america
Los Angeles,"340 Main Street Los Angeles, CA 90291 United States",+1 310-310-6000,-118.4766773,33.995939,north-america
Miami,1450 Brickell Ave Ste 900  Miami FL 33131 United States,+1 305-985-7900,-80.1932144,25.758473,north-america
Montreal,"1253 McGill College Avenue Montreal, QC H3B 2Y5 Canada",514-670-8700,-73.570365,45.50191,north-america
Mountain View,"1600 Amphitheatre Parkway Mountain View, CA 94043 United States",,-122.084101,37.421512,north-america
New York,"111 8th Avenue New York, NY 10011 United States",+1 212-565-0000,-74.003102,40.741445,north-america
Pittsburgh,"6425 Penn Avenue Pittsburgh, PA 15206 United States",+1 412-345-6700,-79.916596,40.45716,north-america
Playa Vista,"12422 W. Bluff Creek Drive Playa Vista, CA 90094 United States",,-118.407244,33.97684,north-america
Reston,"1875 Explorer Street  10th Floor Reston, VA 20190 United States",+1 202-370-5600,-77.359795,38.958309,north-america
San Bruno,"901 Cherry Avenue San Bruno, CA 94066 United States",,-122.426491,37.62816,north-america
San Diego,"6420 Sequence Dr  Suite 400 San Diego, CA 92121 United States",+1 858-239-4000,-117.181899,32.90961,north-america
San Francisco,"345 Spear Street San Francisco, CA 94105 United States",+1 415-736-0000,-122.390013,37.789972,north-america
Seattle,"601 N. 34th Street Seattle, WA 98103 United States",+1 206-876-1800,-122.350629,47.649316,north-america
Sunnyvale,"803 11th Avenue Sunnyvale, CA 94089 United States",,-122.031583,37.403694,north-america
Toronto,"111 Richmond Street West Toronto, ON M5H 2G4 Canada",416-915-8200,-79.383858,43.650477,north-america
Washington DC,"25 Massachusetts Avenue Washington DC, 20001 United States",(202) 346-1100,-77.010286,38.898337,north-america
Belo Horizonte,"Boulevard Corporate Tower Av. dos Andradas, 3000 - Andares 14-17 Santa Efigênia Belo Horizonte 30260-070, Brazil",+55-31-2128-6800,-43.920845,-19.920225,latin-america
Bogota,"Carrera 11A 94 - 45 Centro Empresarial Oxo Center Bogota, Colombia",+57 (1) 5939400,-74.046901,4.678267,latin-america
Buenos Aires,"Alicia M. De Justo 350, 2nd Floor Buenos Aires, C1107AAH Argentina",+54-11-5530-3000,-58.366992,-34.602734,latin-america
Mexico City,"Google Mexico, S. de R.L. de C.V. Montes Urales 445 Lomas de Chapultepec Mexico City 11000, Mexico",+52 55-5342-8400,-99.2065518,19.4283793,latin-america
Santiago,"Costanera Sur Rio 2730  Las Condes, Santiago Chile",,-70.605665,-33.413383,latin-america
Sao Paulo,"Av. Brigadeiro Faria Lima, 3477  São Paulo 04538-133, Brazil",,-46.682078,-23.586479,latin-america
Aarhus,Aabogade 15 8200 Aarhus Denmark,,10.187372,56.172249,europe
Amsterdam,"Claude Debussylaan 34 1082 MD, Amsterdam Netherlands",,4.872066,52.337801,europe
Athens,Fragkokklisias 7 Athens 151 25 Greece,,23.804595,38.03902,europe
